DATE ,country , NEW Cases,NEW_DEATHS,vaccinated 
2024-11-16,Argentina,751.0,37.0,295
2024-11-16,Australia,823.0,41.0,314
2024-11-16,Brazil,491.0,24.0,45
11/16/2024,Canada,677.0,33.0,323
11/16/2024,China,727.0,36.0,326
11/16/2024,China,727.0,36.0,326
2024-11-17,Argentina,759.0,,397
2024-11-17,Argentina,759.0,,397
11/17/2024,Australia,942.0,47.0,474
2024-11-17,Brazil,18.0,0.0,37
2024-11-17,Brazil,18.0,0.0,37
2024-11-17,Canada,294.0,14.0,358
2024-11-17,China,863.0,43.0,206
11/18/2024,Argentina,,,unknown
2024-11-18,Australia,882.0,,458
2024-11-18,Brazil,433.0,21.0,457
2024-11-18,Canada,38.0,1.0,385
2024-11-18,China,94.0,4.0,138
2024-11-18,China,94.0,4.0,138
2024-11-19,Argentina,916.0,45.0,260
2024-11-19,Australia,730.0,36.0,480
2024-11-19,Brazil,114.0,5.0,168
2024-11-19,Canada,0.0,0.0,352
2024-11-19,China,,,169
2024-11-20,Argentina,589.0,29.0,120
2024-11-20,Argentina,589.0,29.0,120
2024-11-20,Australia,749.0,37.0,421
2024-11-20,Brazil,587.0,29.0,11
2024-11-20,Brazil,587.0,29.0,11
2024-11-20,Canada,,,332
2024-11-20,China,116.0,,unknown
11/21/2024,Argentina,1248.0,62.0,unknown
2024-11-21,Australia,626.0,31.0,499
2024-11-21,Brazil,896.0,44.0,187
2024-11-21,Canada,606.0,30.0,465
2024-11-21,China,588.0,29.0,107
2024-11-22,Argentina,896.0,,349
2024-11-22,Australia,741.0,37.0,346
2024-11-22,Brazil,345.0,17.0,397
2024-11-22,Brazil,345.0,17.0,397
2024-11-22,Canada,664.0,33.0,309
2024-11-22,China,627.0,31.0,278
2024-11-23,Argentina,1196.0,59.0,422
11/23/2024,Australia,1087.0,54.0,395
11/23/2024,Australia,1087.0,54.0,395
2024-11-23,Brazil,151.0,7.0,131
2024-11-23,Canada,730.0,36.0,427
2024-11-23,China,1030.0,51.0,30
2024-11-24,Argentina,831.0,41.0,33
2024-11-24,Australia,1196.0,59.0,356
2024-11-24,Brazil,66.0,3.0,498
2024-11-24,Canada,597.0,,319
2024-11-24,China,10.0,0.0,375
2024-11-25,Argentina,1063.0,53.0,unknown
2024-11-25,Australia,,,353
2024-11-25,Brazil,357.0,17.0,unknown
2024-11-25,Canada,48.0,2.0,377
2024-11-25,China,1093.0,54.0,266
2024-11-26,Argentina,1350.0,67.0,175
2024-11-26,Australia,1568.0,78.0,496
2024-11-26,Brazil,410.0,20.0,70
11/26/2024,Canada,778.0,38.0,440
2024-11-26,China,949.0,47.0,444
2024-11-27,Argentina,1470.0,73.0,233
11/27/2024,Australia,1074.0,,446
2024-11-27,Brazil,759.0,37.0,418
2024-11-27,Canada,,,499
2024-11-27,China,521.0,26.0,17
2024-11-28,Argentina,1228.0,61.0,171
2024-11-28,Australia,1730.0,86.0,347
2024-11-28,Brazil,141.0,7.0,134
2024-11-28,Canada,803.0,,483
2024-11-28,China,401.0,20.0,190
2024-11-28,China,401.0,20.0,190
2024-11-29,Argentina,1661.0,83.0,220
2024-11-29,Australia,1650.0,82.0,491
2024-11-29,Brazil,,,62
11/29/2024,Canada,618.0,30.0,351
2024-11-29,China,67.0,3.0,490
2024-11-30,Argentina,1619.0,80.0,unknown
2024-11-30,Australia,1473.0,73.0,428
2024-11-30,Brazil,514.0,25.0,unknown
2024-11-30,Canada,1133.0,56.0,438
2024-11-30,Canada,1133.0,56.0,438
2024-11-30,China,0.0,0.0,unknown
2024-11-30,China,0.0,0.0,unknown
